Team,ScoreDescending,Overs,RPO,Lead,Inns,Result,Opposition,Ground,Start Date,Declared,Wickets
Sri Lanka,952,271.0,3.51,415,2,draw,India,Colombo (RPS),1997-08-02,1,6
England,903,335.3333333333333,2.69,903,1,won,Australia,The Oval,1938-08-20,1,7
England,849,258.3333333333333,3.28,849,1,draw,West Indies,Kingston,1930-04-03,0,10
West Indies,790,208.16666666666666,3.79,462,2,won,Pakistan,Kingston,1958-02-26,1,3
Pakistan,765,248.83333333333334,3.07,121,2,draw,Sri Lanka,Karachi,2009-02-21,1,6
Sri Lanka,760,202.66666666666666,3.75,334,2,draw,India,Ahmedabad,2009-11-16,1,7
India,759,190.66666666666666,3.98,282,2,won,England,Chennai,2016-12-16,1,7
Australia,758,245.66666666666666,3.08,401,2,won,West Indies,Kingston,1955-06-11,1,8
Sri Lanka,756,185.16666666666666,4.08,587,2,won,South Africa,Colombo (SSC),2006-07-27,1,5
West Indies,751,202.0,3.71,751,1,draw,England,St John's,2004-04-10,1,5
West Indies,749,194.66666666666666,3.84,149,2,draw,England,Bridgetown,2009-02-26,1,9
West Indies,747,235.33333333333334,3.17,159,2,draw,South Africa,St John's,2005-04-29,0,10
Australia,735,146.5,5.01,735,1,won,Zimbabwe,Perth,2003-10-09,1,6
Sri Lanka,730,187.83333333333334,3.88,498,2,won,Bangladesh,Mirpur,2014-01-27,1,6
Australia,729,232.0,3.14,304,2,won,England,Lord's,1930-06-27,1,6
India,726,163.5,4.44,333,2,won,Sri Lanka,Brabourne,2009-12-02,1,9
New Zealand,715,163.0,4.38,481,2,won,Bangladesh,Hamilton,2019-02-28,1,6
Sri Lanka,713,165.5,4.3,485,2,won,Zimbabwe,Bulawayo,2004-05-14,1,3
Sri Lanka,713,199.5,3.57,200,2,draw,Bangladesh,Chattogram,2018-01-31,1,9
England,710,188.16666666666666,3.77,486,2,won,India,Birmingham,2011-08-10,1,7
Pakistan,708,220.5,3.21,708,1,draw,England,The Oval,1987-08-06,0,10
India,707,225.33333333333334,3.13,65,2,draw,Sri Lanka,Colombo (SSC),2010-07-26,0,10
India,705,187.5,3.76,705,1,draw,Australia,Sydney,2004-01-02,1,7
Sri Lanka,704,151.0,4.66,212,2,won,Ireland,Galle,2023-04-24,1,3
Australia,701,171.33333333333334,4.09,701,1,won,England,The Oval,1934-08-18,0,10
Pakistan,699,203.66666666666666,3.43,190,2,draw,India,Lahore,1989-12-01,0,5
Australia,695,256.1666666666667,2.71,290,2,won,England,The Oval,1930-08-16,0,10
West Indies,692,163.0,4.24,238,2,draw,England,The Oval,1995-08-24,1,8
New Zealand,690,143.16666666666666,4.81,339,2,won,Pakistan,Sharjah,2014-11-26,0,10
West Indies,687,182.83333333333334,3.75,687,1,won,England,The Oval,1976-08-12,1,8
India,687,166.0,4.13,687,1,won,Bangladesh,Hyderabad,2017-02-09,1,6
South Africa,682,177.0,3.85,509,2,won,England,Lord's,2003-07-31,1,6
West Indies,681,198.66666666666666,3.42,681,1,draw,England,Port of Spain,1954-03-17,1,8
New Zealand,680,210.0,3.23,434,3,draw,India,Wellington,2014-02-14,1,8
Pakistan,679,143.5,4.73,679,1,draw,India,Lahore,2006-01-13,1,7
India,676,167.16666666666666,4.04,256,2,draw,Sri Lanka,Kanpur,1986-12-17,0,7
India,675,161.83333333333334,4.17,675,1,won,Pakistan,Multan,2004-03-28,1,5
Australia,674,,3.33,674,1,won,India,Adelaide,1948-01-23,0,10
Pakistan,674,224.83333333333334,2.99,174,2,draw,India,Faisalabad,1984-10-24,0,6
Australia,674,181.0,3.72,239,2,draw,England,Cardiff,2009-07-08,1,6
New Zealand,671,220.5,3.04,348,3,draw,Sri Lanka,Wellington,1991-01-31,0,4
Australia,668,235.83333333333334,2.83,668,1,draw,West Indies,Bridgetown,1955-05-14,0,10
India,664,170.0,3.9,664,1,draw,England,The Oval,2007-08-09,0,10
Australia,662,179.5,3.68,259,2,won,England,Perth,2017-12-14,1,9
West Indies,660,169.33333333333334,3.89,660,1,won,New Zealand,Wellington,1995-02-10,1,5
Australia,659,,2.85,404,2,won,England,Sydney,1946-12-13,1,8
Australia,659,163.0,4.04,468,2,won,India,Sydney,2012-01-03,1,4
New Zealand,659,158.83333333333334,4.14,362,2,won,Pakistan,Christchurch,2021-01-03,1,6
England,658,188.0,3.5,658,1,draw,Australia,Nottingham,1938-06-10,1,8
South Africa,658,166.33333333333334,3.95,394,2,won,West Indies,Durban,2003-12-26,1,9
Pakistan,657,319.0,2.05,184,3,draw,West Indies,Bridgetown,1958-01-17,1,8
India,657,178.0,3.69,383,3,won,Australia,Eden Gardens,2001-03-11,1,7
England,657,101.0,6.5,657,1,won,Pakistan,Rawalpindi,2022-12-01,0,10
Australia,656,255.83333333333334,2.56,656,1,draw,England,Manchester,1964-07-23,1,8
England,654,,2.24,-41,4,draw,South Africa,Durban,1939-03-03,0,5
England,653,162.0,4.03,653,1,won,India,Lord's,1990-07-26,1,4
Australia,653,193.0,3.38,653,1,won,England,Leeds,1993-07-22,1,4
West Indies,652,168.66666666666666,3.86,652,1,won,England,Lord's,1973-08-23,1,8
Pakistan,652,142.66666666666666,4.57,280,2,won,India,Faisalabad,1983-01-03,0,10
England,652,175.0,3.72,380,2,won,India,Chennai,1985-01-13,1,7
Australia,652,146.0,4.46,652,1,won,South Africa,Johannesburg,2002-02-22,1,7
South Africa,651,154.5,4.21,442,2,won,Australia,Cape Town,2009-03-19,0,10
Australia,650,189.0,3.43,650,1,draw,West Indies,Bridgetown,1965-05-05,1,6
Australia,649,193.0,3.36,303,2,won,England,Sydney,2018-01-04,1,7
India,649,149.83333333333334,4.33,649,1,won,West Indies,Rajkot,2018-10-04,1,9
West Indies,648,200.5,3.23,261,2,won,Bangladesh,Khulna,2012-11-21,1,9
Sri Lanka,648,179.0,3.62,107,2,draw,Bangladesh,Pallekele,2021-04-21,1,8
Australia,645,,3.04,645,1,won,England,Brisbane,1946-11-29,0,10
West Indies,644,214.0,3.0,229,2,draw,India,Delhi,1959-02-06,1,8
India,644,189.66666666666666,3.39,644,1,draw,West Indies,Kanpur,1979-02-02,1,7
Sri Lanka,644,155.33333333333334,4.14,644,1,draw,Pakistan,Karachi,2009-02-21,1,7
England,644,177.83333333333334,3.62,364,2,won,Australia,Sydney,2011-01-03,0,10
Pakistan,643,157.83333333333334,4.07,643,1,won,New Zealand,Lahore,2002-05-01,0,10
India,643,153.0,4.2,347,2,won,South Africa,Eden Gardens,2010-02-14,1,6
India,642,154.0,4.16,642,1,won,Sri Lanka,Kanpur,2009-11-24,0,10
Sri Lanka,642,159.66666666666666,4.02,642,1,draw,India,Colombo (SSC),2010-07-26,1,4
Australia,641,152.0,4.21,641,1,won,England,The Oval,2001-08-23,1,4
Bangladesh,638,196.0,3.25,68,2,draw,Sri Lanka,Galle,2013-03-08,0,10
South Africa,637,189.0,3.37,252,2,won,England,The Oval,2012-07-19,1,2
England,636,272.1666666666667,2.33,383,2,won,Australia,Sydney,1928-12-14,0,10
Pakistan,636,156.33333333333334,4.06,348,2,won,England,Lahore,2005-11-29,1,8
England,633,165.33333333333334,3.82,633,1,won,India,Birmingham,1979-07-12,1,5
India,633,159.0,3.98,400,2,won,Australia,Eden Gardens,1998-03-18,1,5
Australia,632,196.0,3.22,632,1,won,England,Lord's,1993-06-17,1,4
West Indies,631,183.66666666666666,3.43,631,1,draw,India,Delhi,1948-11-10,0,10
West Indies,631,217.66666666666666,2.89,236,2,won,India,Kingston,1962-03-07,1,8
India,631,151.33333333333334,4.16,631,1,won,West Indies,Eden Gardens,2011-11-14,1,7
India,631,182.5,3.45,231,2,won,England,Wankhede,2016-12-08,0,10
New Zealand,630,198.5,3.17,630,1,draw,India,Mohali,2003-10-16,1,6
West Indies,629,206.0,3.05,629,1,draw,India,Brabourne,1948-12-09,1,6
England,629,182.83333333333334,3.44,629,1,won,India,Lord's,1974-06-20,0,10
West Indies,629,248.0,2.53,116,2,draw,India,St John's,2002-05-10,1,9
England,629,125.83333333333333,4.99,629,1,draw,South Africa,Cape Town,2016-01-02,1,6
Australia,628,193.66666666666666,3.24,326,2,won,South Africa,Johannesburg,1997-02-28,1,8
India,628,180.16666666666666,3.48,628,1,won,England,Leeds,2002-08-22,1,8
Sri Lanka,628,182.0,3.45,363,2,won,England,Colombo (SSC),2003-12-18,1,8
Pakistan,628,168.66666666666666,3.72,296,2,draw,Bangladesh,Khulna,2015-04-28,0,10
England,627,201.0,3.11,627,1,draw,Australia,Manchester,1934-07-06,1,9
Sri Lanka,627,197.0,3.18,237,2,won,West Indies,Colombo (SSC),2001-11-29,1,9
India,627,155.16666666666666,4.04,87,2,draw,South Africa,Chennai,2008-03-26,0,10
South Africa,627,211.0,2.97,-2,2,draw,England,Cape Town,2016-01-02,1,7
India,626,150.33333333333334,4.16,626,1,draw,Pakistan,Bengaluru,2007-12-08,0,10
Pakistan,624,191.33333333333334,3.26,159,2,draw,Australia,Adelaide,1983-12-09,0,10
New Zealand,624,153.83333333333334,4.05,65,2,draw,Australia,Perth,2015-11-13,0,10
Australia,624,142.0,4.39,181,2,won,Pakistan,Melbourne,2016-12-26,1,8
South Africa,622,167.83333333333334,3.7,622,1,won,Australia,Durban,1970-02-05,1,9
India,622,158.0,3.93,622,1,won,Sri Lanka,Colombo (SSC),2017-08-03,1,9
India,622,167.33333333333334,3.71,622,1,draw,Australia,Sydney,2019-01-03,1,7
South Africa,621,200.16666666666666,3.1,621,1,draw,New Zealand,Auckland,1999-02-27,1,5
South Africa,621,142.16666666666666,4.36,225,2,won,Sri Lanka,Centurion,2020-12-26,0,10
South Africa,620,177.5,3.49,494,3,won,Australia,Johannesburg,1966-12-23,0,10
South Africa,620,135.0,4.59,620,1,won,Pakistan,Cape Town,2003-01-02,1,7
England,620,152.0,4.07,375,2,won,Australia,Adelaide,2010-12-03,1,5
South Africa,620,130.16666666666666,4.76,484,2,won,India,Centurion,2010-12-16,1,4
England,619,212.0,2.91,619,1,draw,West Indies,Nottingham,1957-07-04,1,6
Australia,619,,3.03,619,1,won,West Indies,Sydney,1969-02-14,0,10
New Zealand,619,154.66666666666666,4.0,619,1,draw,India,Napier,2009-03-26,1,9
Australia,617,211.0,2.92,617,1,draw,Pakistan,Faisalabad,1980-03-06,0,10
Australia,617,174.0,3.54,366,2,won,Sri Lanka,Perth,1995-12-08,1,5
England,617,144.83333333333334,4.26,260,2,draw,India,Nottingham,2002-08-08,0,10
West Indies,616,,3.36,359,3,draw,Australia,Adelaide,1969-01-24,0,10
Pakistan,616,203.0,3.03,616,1,draw,New Zealand,Auckland,1989-02-24,1,5
India,616,152.83333333333334,4.03,616,1,draw,Pakistan,Eden Gardens,2007-11-30,1,5
New Zealand,615,201.0,3.05,262,2,won,England,Mount Maunganui,2019-11-21,1,9
West Indies,614,162.16666666666666,3.78,614,1,won,India,Eden Gardens,1958-12-31,1,5
India,613,161.0,3.8,613,1,draw,Australia,Delhi,2008-10-29,1,7
New Zealand,612,194.83333333333334,3.14,174,2,draw,Pakistan,Karachi,2022-12-26,1,9
England,611,293.1666666666667,2.08,-45,2,draw,Australia,Manchester,1964-07-23,0,10
Sri Lanka,610,171.0,3.56,376,2,won,India,Colombo (SSC),2001-08-29,1,6
India,610,153.0,3.98,610,1,won,Bangladesh,Mirpur,2007-05-25,1,3
India,610,176.16666666666666,3.46,405,2,won,Sri Lanka,Nagpur,2017-11-24,1,6
India,609,155.83333333333334,3.9,609,1,draw,Zimbabwe,Nagpur,2000-11-25,1,6
New Zealand,609,153.16666666666666,3.97,609,1,draw,West Indies,Dunedin,2013-12-03,1,9
England,608,,3.04,608,1,draw,South Africa,Johannesburg,1948-12-27,0,10
Pakistan,608,195.0,3.11,608,1,draw,England,Birmingham,1971-06-03,1,7
Australia,607,183.0,3.31,374,2,won,New Zealand,Brisbane,1993-12-03,1,6
West Indies,606,143.0,4.23,415,2,won,England,Birmingham,1984-06-14,0,10
India,606,173.0,3.5,606,1,draw,England,The Oval,1990-08-23,1,9
